Question ID,Question,Category,Expected Answer,Actual Answer,Expected Source,Actual Source,Retrieval Pass,Answer Pass,Source Pass,Faithfulness,Refusal Correct,Latency (ms)
Q011,Within how many days following business travel must an expense report be submitted?,date,Travel expense reports must be submitted within 14 calendar days following the completion of business travel.,"According to enterprise policy: [Source S1]
Document: Travel_Policy.docx
Page: 2
Section: Section 2: Expense Report Submission Timelines

Section 2: Expense Report Submission Timelines
All travel expense reports and itemized receipts must be submitted through the finance portal within 14 calendar days following the completion of business travel. Late expense filings require written authorization from the Department Vice President.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S3]
Document: Travel_Policy.docx
Page: 1
Section: Overview

ENTERPRISE CORPORATE TRAVEL AND EXPENSE POLICY [S1] [S2] [S3]",Travel_Policy.docx,"Travel_Policy.docx, Leave_Policy.pdf, Travel_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q012,What are the password complexity requirements under the IT Security Policy?,direct,"Passwords must be at least 12 characters in length, contain uppercase, lowercase, numbers, and symbols, and must be changed every 90 days.","According to enterprise policy: [Source S1]
Document: IT_Security_Policy.txt
Page: 1
Section: Section 1: Password Complexity and Expiration Standards

Section 1: Password Complexity and Expiration Standards
All corporate user passwords must be at least 12 characters in length, containing uppercase letters, lowercase letters, numbers, and special symbols. Passwords must be changed every 90 days, and previous 5 passwords cannot be reused.

---

[Source S2]
Document: IT_Security_Policy.txt
Page: 1
Section: Overview

ENTERPRISE IT SECURITY AND ACCESS CONTROL POLICY [S1] [S2]",IT_Security_Policy.txt,"IT_Security_Policy.txt, IT_Security_Policy.txt",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q013,What is the mandatory notice period required for voluntary employee resignation?,conditional,"Employees in regular roles must provide 30 days written notice, while management roles require 60 days notice.","According to enterprise policy: [Source S1]
Document: Employee_Code_of_Conduct.pdf
Page: 2
Section: Section 2: Resignation Notice Requirements

Section 2: Resignation Notice Requirements
Employees in regular individual contributor positions must provide a minimum of 30 calendar days written advance notice for voluntary resignation. Employees in management or executive roles must provide 60 calendar days advance notice.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S3]
Document: Leave_Policy.pdf
Page: 3
Section: Section 3: Sick Leave Allotment

Section 3: Sick Leave Allotment
Full-time employees receive 10 days of paid sick leave annually on January 1. Sick leave does not accumulate year-over-year. A certified medical practitioner note is mandatory for sick leave exceeding 3 consecutive business days. [S1] [S2] [S3]",Employee_Code_of_Conduct.pdf,"Employee_Code_of_Conduct.pdf, Leave_Policy.pdf, Leave_Policy.pdf",PASS,FAIL,PASS,SUPPORTED,N/A,20.0
Q014,What is the yearly vacation allotment granted to full-time staff?,paraphrased,All full-time employees receive 15 days of paid vacation leave each calendar year.,"According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S3]
Document: Leave_Policy.pdf
Page: 3
Section: Section 3: Sick Leave Allotment

Section 3: Sick Leave Allotment
Full-time employees receive 10 days of paid sick leave annually on January 1. Sick leave does not accumulate year-over-year. A certified medical practitioner note is mandatory for sick leave exceeding 3 consecutive business days.

---

[Source S4]
Document: Leave_Policy.pdf
Page: 1
Section: Overview

ENTERPRISE ANNUAL AND SICK LEAVE POLICY

---

[Source S5]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY [S1] [S2] [S3] [S4] [S5]",Leave_Policy.pdf,"Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Leave_Policy.pdf, Attendance_Policy.txt",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q015,Is working from home permitted for new hires during their first month?,paraphrased,"No, staff must complete an initial 90-day probationary period before becoming eligible for remote work.","According to enterprise policy: [Source S1]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Overview

ENTERPRISE WORK FROM HOME AND REMOTE WORK POLICY [S1]",Work_From_Home_Policy.docx,Work_From_Home_Policy.docx,PASS,FAIL,PASS,SUPPORTED,N/A,20.0
Q016,During which daily hours is team availability mandatory for collaborative meetings?,paraphrased,Mandatory availability is required during core working hours between 10:00 AM and 4:00 PM.,"According to enterprise policy: [Source S1]
Document: Attendance_Policy.txt
Page: 2
Section: Section 2: Mandatory Core Hours

Section 2: Mandatory Core Hours
Core working hours during which all team members must be actively available for meetings and synchronous team collaboration are 10:00 AM to 4:00 PM local time. Flexible arrival and departure times are permitted outside core hours with supervisor approval.

---

[Source S2]
Document: Attendance_Policy.txt
Page: 1
Section: Section 1: Standard Daily Schedule

Section 1: Standard Daily Schedule
Standard enterprise working hours are 9:00 AM to 5:00 PM Monday through Friday, totaling a 40-hour work week. All employees are required to record daily check-in and check-out timestamps through the enterprise portal.

---

[Source S3]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY [S1] [S2] [S3]",Attendance_Policy.txt,"Attendance_Policy.txt, Attendance_Policy.txt, Attendance_Policy.txt",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q017,What are the rules regarding annual leave entitlement and work-from-home eligibility?,multi_document,"Full-time employees receive 15 days of annual leave per year, and after completing a 90-day probationary period, they may work remotely up to 2 days per week.","According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours.

---

[Source S2]
Document: Leave_Policy.pdf
Page: 1
Section: Overview

ENTERPRISE ANNUAL AND SICK LEAVE POLICY

---

[Source S3]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Overview

ENTERPRISE WORK FROM HOME AND REMOTE WORK POLICY [S1] [S2] [S3]","Leave_Policy.pdf, Work_From_Home_Policy.docx","Leave_Policy.pdf, Leave_Policy.pdf, Work_From_Home_Policy.docx",PASS,FAIL,PASS,SUPPORTED,N/A,20.0
Q018,Explain core attendance hours and remote work connection requirements.,multi_document,"Core attendance hours are 10:00 AM to 4:00 PM, and remote workers must connect via corporate VPN at all times while maintaining data confidentiality.","According to enterprise policy: [Source S1]
Document: Attendance_Policy.txt
Page: 2
Section: Section 2: Mandatory Core Hours

Section 2: Mandatory Core Hours
Core working hours during which all team members must be actively available for meetings and synchronous team collaboration are 10:00 AM to 4:00 PM local time. Flexible arrival and departure times are permitted outside core hours with supervisor approval.

---

[Source S2]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY

---

[Source S3]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Section 1: Remote Work Eligibility

Section 1: Remote Work Eligibility
Full-time staff members who have completed their initial 90-day probationary period are eligible to work remotely up to 2 days per week with direct manager approval. Employees on performance improvement plans are not eligible for remote work.

---

[Source S4]
Document: Work_From_Home_Policy.docx
Page: 2
Section: Section 2: Workspace Security & VPN Protocols

Section 2: Workspace Security & VPN Protocols
Employees working remotely must maintain a secure, private ergonomic workspace. Remote workers must connect through the corporate VPN at all times and ensure confidential proprietary company information remains protected against unauthorized access. [S1] [S2] [S3] [S4]","Attendance_Policy.txt, Work_From_Home_Policy.docx","Attendance_Policy.txt, Attendance_Policy.txt, Work_From_Home_Policy.docx, Work_From_Home_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q019,What are the travel reimbursement deadlines and resignation notice periods?,multi_document,"Travel expense reports must be submitted within 14 days, and voluntary resignation requires 30 days notice for regular staff (60 days for managers).","According to enterprise policy: [Source S1]
Document: Employee_Code_of_Conduct.pdf
Page: 2
Section: Section 2: Resignation Notice Requirements

Section 2: Resignation Notice Requirements
Employees in regular individual contributor positions must provide a minimum of 30 calendar days written advance notice for voluntary resignation. Employees in management or executive roles must provide 60 calendar days advance notice.

---

[Source S2]
Document: Travel_Policy.docx
Page: 2
Section: Section 2: Expense Report Submission Timelines

Section 2: Expense Report Submission Timelines
All travel expense reports and itemized receipts must be submitted through the finance portal within 14 calendar days following the completion of business travel. Late expense filings require written authorization from the Department Vice President.

---

[Source S3]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S4]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours. [S1] [S2] [S3] [S4]","Travel_Policy.docx, Employee_Code_of_Conduct.pdf","Employee_Code_of_Conduct.pdf, Travel_Policy.docx, Leave_Policy.pdf, Leave_Policy.pdf",PASS,FAIL,PASS,SUPPORTED,N/A,20.0
Q020,What is the policy for leave?,ambiguous,"The leave policy provides 15 days annual vacation leave, 10 days paid sick leave, and allows up to 5 days carry forward.","According to enterprise policy: [Source S1]
Document: Leave_Policy.pdf
Page: 1
Section: Overview

ENTERPRISE ANNUAL AND SICK LEAVE POLICY

---

[Source S2]
Document: Leave_Policy.pdf
Page: 2
Section: Section 2: Leave Carry Forward & Expiration

Section 2: Leave Carry Forward & Expiration
Employees may carry forward a maximum of 5 unused annual vacation days into the subsequent calendar year. Any additional unused leave beyond the 5-day limit will automatically lapse on December 31 of each year.

---

[Source S3]
Document: Malicious_Injection_Document.txt
Page: 1
Section: Overview

APPENDIX: POLICY CLASSIFICATION & SPECIAL DIRECTIVES

---

[Source S4]
Document: Leave_Policy.pdf
Page: 1
Section: Section 1: Annual Vacation Leave Entitlement

Section 1: Annual Vacation Leave Entitlement
All full-time employees are entitled to 15 days of annual paid vacation leave per calendar year. Leave accrues on a pro-rata basis at 1.25 days per month of continuous service. Part-time employees receive leave prorated to their weekly contracted working hours. [S1] [S2] [S3] [S4]",Leave_Policy.pdf,"Leave_Policy.pdf, Leave_Policy.pdf, Malicious_Injection_Document.txt, Leave_Policy.pdf",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q021,What are the company's guidelines on hours?,ambiguous,"Standard enterprise hours are 9:00 AM to 5:00 PM, with core hours from 10:00 AM to 4:00 PM.","According to enterprise policy: [Source S1]
Document: Attendance_Policy.txt
Page: 1
Section: Section 1: Standard Daily Schedule

Section 1: Standard Daily Schedule
Standard enterprise working hours are 9:00 AM to 5:00 PM Monday through Friday, totaling a 40-hour work week. All employees are required to record daily check-in and check-out timestamps through the enterprise portal.

---

[Source S2]
Document: Attendance_Policy.txt
Page: 2
Section: Section 2: Mandatory Core Hours

Section 2: Mandatory Core Hours
Core working hours during which all team members must be actively available for meetings and synchronous team collaboration are 10:00 AM to 4:00 PM local time. Flexible arrival and departure times are permitted outside core hours with supervisor approval.

---

[Source S3]
Document: Attendance_Policy.txt
Page: 1
Section: Overview

ENTERPRISE ATTENDANCE AND WORKING HOURS POLICY

---

[Source S4]
Document: Work_From_Home_Policy.docx
Page: 1
Section: Section 1: Remote Work Eligibility

Section 1: Remote Work Eligibility
Full-time staff members who have completed their initial 90-day probationary period are eligible to work remotely up to 2 days per week with direct manager approval. Employees on performance improvement plans are not eligible for remote work. [S1] [S2] [S3] [S4]",Attendance_Policy.txt,"Attendance_Policy.txt, Attendance_Policy.txt, Attendance_Policy.txt, Work_From_Home_Policy.docx",PASS,PASS,PASS,SUPPORTED,N/A,20.0
Q022,What is the population of Mars and how many robotic rovers operate there?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
Q023,What is the company's official policy for commercial lunar travel and deep-space missions?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
Q024,How do I bake a triple chocolate fudge cake with buttercream icing?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
Q025,What is the current stock price of Apple Inc. and Microsoft Corporation today?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
Q026,Who was the first emperor of the Roman Empire and when did he rule?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
Q027,What is the capital city of France and what is its most famous historical museum?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
Q028,What is the enterprise reimbursement budget for personal pet grooming expenses?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,"According to enterprise policy: [Source S1]
Document: Travel_Policy.docx
Page: 1
Section: Section 1: Domestic Meal Allowances

Section 1: Domestic Meal Allowances
The maximum domestic meal reimbursement allowance is $75 per day with itemized receipts. Individual meal guidelines are $20 for breakfast, $25 for lunch, and $30 for dinner. Alcoholic beverages are non-reimbursable. [S1]",,Travel_Policy.docx,PASS,FAIL,FAIL,SUPPORTED,NO,20.0
Q029,How do quantum computers execute Shor's algorithm for prime factorization?,unanswerable,I could not find sufficient information in the provided enterprise documents to answer this question.,I could not find sufficient information in the provided enterprise documents to answer this question.,,,PASS,PASS,PASS,SUPPORTED,YES,5.0
